taxonID,taxonomicStatus,taxonRank,scientificName,scientificNameAuthorship,parentNameUsageID,kingdom,phylum,class,order,family,genus,determined
38KDG,synonym,species,Echinopsis deserticola,(Werderm.) H. Friedrich & G. D. Rowley,5TC39,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
5RVQ4,synonym,variety,Trichocereus macrogonus var. peruvianu,(Britton & Rose) Lodé,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
9XZQH,synonym,species,Hildmannia ambigua,(Hildm. ex K. Schum.) Kreuz. & Buining,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
5H6LZ,synonym,subspecies,Eriosyce curvispina subsp. marks,(F. Ritter) Ferryman,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
753L4,synonym,species,Opuntia chilensis,(Backeb.) G. D. Rowley,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
8SL6S,accepted,subspecies,Leucostele chiloensis subsp. eburneus,(K. Schum.) Schlumpb.,6Q669,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
753KM,synonym,species,Opuntia conoid,(Backeb.) A. E. Hoffm.,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
5H2HC,synonym,subspecies,Echinopsis peruviana subsp. puquiensi,(Rauh & Backeb.) Ostolaza,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
4QVLY,synonym,species,Pyrrhocactus aconcaguensis,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B2K46,synonym,form,Neoporteria napina f. mebbes,(Hildm. ex K. Schum.) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
38GJY,synonym,species,Echinocactus rostratus ,Jacobi,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
TZSL,synonym,species,Chileorebutia napina,(Phil.) F. Ritter,3B6W5,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9XP7H,synonym,unranked,Tunas ,Lunell,93LTC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
BV7Y4,synonym,subspecies,Neoporteria chilensis subsp. albidiflora,(F. Ritter) Lodé,3B6V6,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
TZSN,synonym,species,Chileorebutia,(K. Schum.) F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6SRK3,synonym,species,Opuntia archiconoidea,(F. Ritter) D. R. Hunt,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
4QVNB,synonym,species,Pyrrhocactus limariensis,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6SRJH,synonym,species,Opuntia berteri,(Colla) A. E. Hoffm.,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
67RCT,synonym,species,Arequipiopsis soehrensii ,Kreuz.,69K5,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Oreocereus,True
83QH,synonym,unranked,Tunilla,D.R.Hunt & Iliff,93LTC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
38G9Y,synonym,species,Echinocactus copiapensis ,Pfeiff.,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
3XJF5,synonym,species,Maihueniopsis nigrispina,(K. Schum.) R. Kiesling,7TWC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Tephrocactus ,True
5T7W2,synonym,unranked,Clavarioidia ,Kreuz.,93LTC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
5N94Y,synonym,variety,Copiapoa cinerea var. tenebrosa,(F. Ritter) A. E. Hoffm.,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
5ZZ2Y,synonym,species,Copiapoa carrizalensis,F. Ritter,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
7LXFP,synonym,variety,Neoporteria paucicostata var. floccosa,(F. Ritter) A. E. Hoffm.,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5H6MS,accepted,subspecies,Eriosyce paucicostata subsp. paucicostata,,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
Y4FS,synonym,species,Copiapoa paposoensis,F. Ritter,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
4NZVP,synonym,species,Pseudolobivia ducis-paul,(C. F. Först.) Krainz,5TC7J,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Lobivia,True
4QVN9,synonym,species,Pyrrhocactus kraus,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5Q9ZY,synonym,variety,Neoporteria kunzei var. confinis,(F. Ritter) A. E. Hoffm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6C26G,synonym,species,Cumulopuntia tortispina,F. Ritter,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
59LV9,synonym,species,Tunilla soeh,(Britton & Rose) D. R. Hunt & Iliff,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
53FJ4,synonym,species,Sulcorebutia chilensis,(Backeb.) F. H. Brandt,632K,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Neowerdermannia ,True
